File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,"max_allowable_speed(float acceleration, float target_velocity, float distance)",2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,"planner_reverse_pass_kernel(block_t *previous, block_t *current, block_t *next)",24,16,10,4,3,1,5,80,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,planner_reverse_pass(),20,17,14,2,2,0,1,12,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,"planner_forward_pass_kernel(block_t *previous, block_t *current, block_t *next)",21,14,9,4,2,0,5,66,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,planner_forward_pass(),13,12,11,1,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,planner_recalculate_trapezoids(),25,21,15,4,1,1,3,45,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,planner_recalculate(),4,4,4,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,plan_init(),11,11,10,1,0,1,0,2,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,getHighESpeed(),38,34,22,8,3,2,1,9,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,check_axes_activity(),73,68,41,12,3,3,2,18,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,"plan_buffer_line(const float &x, const float &y, const float &z, const float &e, float feed_rate, const uint8_t &extruder)",403,296,181,47,42,17,65,687,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,"plan_set_position(const float &x, const float &y, const float &z, const float &e)",11,11,11,0,0,1,0,8,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,plan_set_e_position(const float &e),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,movesplanned(),2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,set_extrude_min_temp(float temp),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\planner.cpp,reset_acceleration_rates(),5,5,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,spiInit(uint8_t spiRate),4,3,3,0,0,0,1,4,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,spiRec(),4,4,4,2,0,1,0,4,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"spiRead(uint8_t* buf, uint16_t nbyte)",10,10,9,4,0,2,0,8,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,spiSend(uint8_t b),3,3,3,1,0,1,0,4,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"spiSendBlock(uint8_t token, const uint8_t* buf)",9,9,8,4,0,3,0,12,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,spiRec(),23,14,13,3,5,0,4,23,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"spiRead(uint8_t* buf, uint16_t nbyte)",4,4,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,spiSend(uint8_t data),21,14,13,1,4,0,3,18,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"spiSendBlock(uint8_t token, const uint8_t* buf)",5,5,4,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"Sd2Card::cardCommand(uint8_t cmd, uint32_t arg)",25,12,12,6,6,3,7,42,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,Sd2Card::cardSize(),18,18,14,5,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,Sd2Card::chipSelectHigh(),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,Sd2Card::chipSelectLow(),5,5,3,0,0,1,0,1,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"Sd2Card::erase(uint32_t firstBlock, uint32_t lastBlock)",33,29,21,10,1,0,3,14,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,Sd2Card::eraseSingleBlockEnable(),3,3,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"Sd2Card::init(uint8_t sckRateID, uint8_t chipSelectPin)",79,59,43,15,7,4,13,103,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"Sd2Card::readBlock(uint32_t blockNumber, uint8_t* dst)",26,24,18,7,1,1,1,15,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,Sd2Card::readData(uint8_t *dst),3,3,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"CRC_CCITT(const uint8_t* data, size_t n)",6,6,5,2,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"Sd2Card::readData(uint8_t* dst, uint16_t count)",38,28,21,6,2,0,8,17,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"Sd2Card::readRegister(uint8_t cmd, void* buf)",11,10,8,3,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,Sd2Card::readStart(uint32_t blockNumber),12,11,9,4,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,Sd2Card::readStop(),12,11,9,3,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,Sd2Card::setSckRate(uint8_t sckRateID),7,7,6,3,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,Sd2Card::waitNotBusy(uint16_t timeoutMillis),9,8,6,4,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"Sd2Card::writeBlock(uint32_t blockNumber, const uint8_t* src)",25,20,16,7,2,0,3,23,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,Sd2Card::writeData(const uint8_t* src),12,10,9,4,1,0,1,6,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"Sd2Card::writeData(uint8_t token, const uint8_t* src)",16,13,11,3,3,2,0,4,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,"Sd2Card::writeStart(uint32_t blockNumber, uint32_t eraseCount)",18,15,12,5,1,0,2,9,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Sd2Card.cpp,Sd2Card::writeStop(),12,11,10,4,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::addCluster(),12,9,7,4,2,0,1,9,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::addDirCluster(),26,15,13,7,6,0,5,26,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::cacheDirEntry(uint8_t action),6,5,4,3,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::close(),4,4,4,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::contiguousRange(uint32_t* bgnBlock, uint32_t* endBlock)",21,15,11,7,3,0,3,13,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::createContiguous(SdBaseFile* dirFile, const char* path, uint32_t size)",23,14,12,5,5,0,4,18,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::dirEntry(dir_t* dir),15,9,8,4,3,0,3,13,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::dirName(const dir_t& dir, char* name)",8,8,7,3,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::exists(const char* name),3,3,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::fgets(char* str, int16_t num, char* delim)",20,18,15,8,0,0,2,4,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::getFilename(char* name),15,11,10,5,2,0,2,4,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::getpos(sd_fpos_t* pos),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::ls(uint8_t flags, uint8_t indent)",11,11,9,3,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::lsPrintNext( uint8_t flags, uint8_t indent)",46,38,30,15,3,0,5,24,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::make83Name(const char* str, uint8_t* name, const char** ptr)",30,24,20,8,1,4,5,55,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::mkdir(SdBaseFile* parent, const char* path, bool pFlag)",32,29,23,14,3,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::mkdir(SdBaseFile* parent, const uint8_t dname[11])",56,31,29,10,13,0,12,58,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::open(const char* path, uint8_t oflag)",2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::open(SdBaseFile* dirFile, const char* path, uint8_t oflag)",31,26,22,14,4,0,1,4,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::open(SdBaseFile* dirFile, const uint8_t dname[11], uint8_t oflag)",75,53,46,17,9,0,13,64,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::open(SdBaseFile* dirFile, uint16_t index, uint8_t oflag)",28,15,12,7,7,0,6,34,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::openCachedEntry(uint8_t dirIndex, uint8_t oflag)",38,26,23,7,5,0,7,50,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::openNext(SdBaseFile* dirFile, uint8_t oflag)",33,20,16,9,8,0,5,24,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::openParent(SdBaseFile* dir),46,34,31,13,1,0,11,61,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::openRoot(SdVolume* vol),31,22,20,6,4,0,5,27,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::peek(),6,6,6,2,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::printDirName(const dir_t& dir, uint8_t width, bool printSlash)",19,19,15,5,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,print2u( uint8_t v),3,3,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::printFatDate(uint16_t fatDate),6,6,6,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::printFatTime( uint16_t fatTime),6,6,6,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::printName(),5,5,5,2,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::read(),3,3,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::read(void* buf, uint16_t nbyte)",55,41,34,13,5,2,9,60,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::readDir(dir_t* dir, char* longFilename)",49,37,29,10,2,0,10,127,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::readDirCache(),19,9,8,4,5,0,5,24,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::remove(),21,11,10,5,5,0,5,24,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::remove(SdBaseFile* dirFile, const char* path)",8,6,5,3,1,0,1,6,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::rename(SdBaseFile* dirFile, const char* newPath)",76,45,39,14,14,0,17,83,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::rmdir(),24,15,13,8,3,0,6,32,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::rmRfStar(),42,28,23,15,6,0,8,41,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::SdBaseFile(const char* path, uint8_t oflag)",4,4,4,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::seekSet(uint32_t pos),37,28,22,8,4,0,5,34,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::setpos(sd_fpos_t* pos),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::sync(),29,18,15,7,5,0,6,38,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::timestamp(SdBaseFile* file),26,16,15,5,6,0,4,10,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::timestamp(uint8_t flags, uint16_t year, uint8_t month, uint8_t day, uint8_t hour, uint8_t minute, uint8_t second)",42,36,22,17,4,0,2,15,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,SdBaseFile::truncate(uint32_t length),45,24,21,13,11,0,10,60,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdBaseFile.cpp,"SdBaseFile::write(const void* buf, uint16_t nbyte)",88,62,50,23,8,0,18,128,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFatUtil.cpp,SdFatUtil::FreeRam(),14,10,7,2,2,0,2,16,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFatUtil.cpp,SdFatUtil::print_P( PGM_P str),2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFatUtil.cpp,SdFatUtil::println_P( PGM_P str),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFatUtil.cpp,SdFatUtil::SerialPrint_P(PGM_P str),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFatUtil.cpp,SdFatUtil::SerialPrintln_P(PGM_P str),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFile.cpp,"SdFile::SdFile(const char* path, uint8_t oflag)",1,1,1,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFile.cpp,"SdFile::write(const void* buf, uint16_t nbyte)",2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFile.cpp,SdFile::write(uint8_t b),2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFile.cpp,SdFile::write(uint8_t b),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFile.cpp,SdFile::write(const char* str),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFile.cpp,SdFile::write_P(PGM_P str),2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdFile.cpp,SdFile::writeln_P(PGM_P str),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdVolume.cpp,"SdVolume::allocContiguous(uint32_t count, uint32_t* curCluster)",70,39,32,15,11,0,20,100,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdVolume.cpp,SdVolume::cacheFlush(),18,16,11,6,1,0,1,3,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdVolume.cpp,"SdVolume::cacheRawBlock(uint32_t blockNumber, bool dirty)",12,11,9,6,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdVolume.cpp,"SdVolume::chainSize(uint32_t cluster, uint32_t* size)",11,10,9,3,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdVolume.cpp,"SdVolume::fatGet(uint32_t cluster, uint32_t* value)",38,37,31,12,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdVolume.cpp,"SdVolume::fatPut(uint32_t cluster, uint32_t value)",56,47,40,17,3,0,6,20,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdVolume.cpp,SdVolume::freeChain(uint32_t cluster),19,11,10,4,6,0,2,6,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdVolume.cpp,SdVolume::freeClusterCount(),28,25,20,11,2,0,1,3,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\SdVolume.cpp,"SdVolume::init(Sd2Card* dev, uint8_t part)",80,57,44,12,10,1,13,96,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,"handle_interrupts(timer16_Sequence_t timer, volatile uint16_t *TCNTn, volatile uint16_t* OCRnA)",22,20,12,5,1,8,1,83,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,SIGNAL(TIMER1_COMPA_vect),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,SIGNAL(TIMER3_COMPA_vect),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,SIGNAL(TIMER4_COMPA_vect),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,SIGNAL(TIMER5_COMPA_vect),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,Timer1Service(),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,Timer3Service(),2,2,2,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,initISR(timer16_Sequence_t timer),57,53,31,4,3,25,1,108,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,finISR(timer16_Sequence_t timer),22,20,9,1,0,5,2,49,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,isTimerActive(timer16_Sequence_t timer),7,6,4,4,0,0,1,10,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,Servo::Servo(),7,7,5,1,0,3,0,17,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,Servo::attach(int pin),2,2,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,"Servo::attach(int pin, int min, int max)",14,12,10,3,0,3,2,39,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,Servo::detach(),6,6,5,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\Servo.cpp,Servo::write(int value),8,8,6,3,0,1,0,17,
